ChassisSim Rig Replay Log
Baseline run
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.746383	-0.065860	-0.000283	0.000000	0.646191	0.646191	0.576771	0.576771	-0.798795	-0.798795	-0.731086	-0.731086	30.274519	30.274519	39.395826	39.395826
0.040000	-3.713430	-0.615362	-0.005998	0.000000	1.783718	1.783718	1.395002	1.395002	-2.456117	-2.456117	-2.301015	-2.301015	39.884507	39.884507	54.588772	54.588772
0.060000	-5.614855	-1.897661	-0.019008	0.000000	2.472571	2.472571	1.696840	1.696840	-4.160316	-4.160316	-4.187030	-4.187030	46.152375	46.152375	55.401326	55.401326
0.080000	-7.411607	-3.952627	-0.029992	0.000000	2.686617	2.686617	1.553386	1.553386	-6.158074	-6.158074	-6.308100	-6.308100	40.030361	40.030361	43.148073	43.148073
0.100000	-9.062720	-6.653259	-0.029686	-0.000000	2.213795	2.213795	1.077415	1.077415	-8.329106	-8.329106	-8.469393	-8.469393	23.894164	23.894164	23.784648	23.784648
0.120000	-10.526355	-9.738335	-0.018073	-0.000000	1.157669	1.157669	0.413692	0.413692	-10.533860	-10.533860	-10.568242	-10.568242	0.803289	0.803289	-0.398421	-0.398421
0.140000	-11.761057	-12.863207	-0.001582	0.000000	-0.219330	-0.219330	-0.352516	-0.352516	-12.553296	-12.553296	-12.491149	-12.491149	-23.763649	-23.763649	-26.656867	-26.656867
0.160000	-12.727217	-15.656407	0.013406	0.000000	-1.614523	-1.614523	-1.124370	-1.124370	-14.186948	-14.186948	-14.109880	-14.109880	-44.756027	-44.756027	-51.652257	-51.652257
0.180000	-13.388693	-17.781002	0.025117	0.000000	-2.785834	-2.785834	-1.778628	-1.778628	-15.319085	-15.319085	-15.262477	-15.262477	-59.664207	-59.664207	-70.613462	-70.613462
0.200000	-13.714571	-18.987029	0.034370	0.000000	-3.588767	-3.588767	-2.192805	-2.192805	-15.880131	-15.880131	-15.817136	-15.817136	-67.271397	-67.271397	-79.672631	-79.672631
0.220000	-13.680993	-19.147404	0.040795	0.000000	-3.942698	-3.942698	-2.301882	-2.301882	-15.822111	-15.822111	-15.725481	-15.725481	-66.815559	-66.815559	-77.846476	-77.846476
