ChassisSim Rig Replay Log
R LS Bump 10K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.746383	-0.071589	-0.001645	0.000000	0.659610	0.659610	0.463463	0.463463	-0.784654	-0.784654	-0.636058	-0.636058	30.696375	30.696375	42.912295	42.912295
0.040000	-3.713430	-0.646990	-0.011618	0.000000	1.837645	1.837645	1.228870	1.228870	-2.402778	-2.402778	-2.267821	-2.267821	41.527129	41.527129	55.953520	55.953520
0.060000	-5.614855	-1.972092	-0.027013	0.000000	2.549149	2.549149	1.559302	1.559302	-4.112181	-4.112181	-4.278841	-4.278841	47.680211	47.680211	51.943884	51.943884
0.080000	-7.411607	-4.059291	-0.033019	0.000000	2.704882	2.704882	1.463122	1.463122	-6.204599	-6.204599	-6.379370	-6.379370	38.624901	38.624901	40.388515	40.388515
0.100000	-9.062720	-6.767191	-0.025884	-0.000000	2.112584	2.112584	1.041458	1.041458	-8.427569	-8.427569	-8.463802	-8.463802	20.837599	20.837599	23.975315	23.975315
0.120000	-10.526355	-9.837113	-0.013198	-0.000000	1.017873	1.017873	0.412909	0.412909	-10.603945	-10.603945	-10.562829	-10.562829	-1.408360	-1.408360	-0.176801	-0.176801
0.140000	-11.761057	-12.931679	-0.000604	-0.000000	-0.301398	-0.301398	-0.368968	-0.368968	-12.557405	-12.557405	-12.520153	-12.520153	-23.918475	-23.918475	-27.740547	-27.740547
0.160000	-12.727217	-15.685416	0.011394	-0.000000	-1.618435	-1.618435	-1.157324	-1.157324	-14.160481	-14.160481	-14.144934	-14.144934	-43.935251	-43.935251	-52.993735	-52.993735
0.180000	-13.388693	-17.767435	0.023750	-0.000000	-2.757338	-2.757338	-1.793551	-1.793551	-15.301880	-15.301880	-15.261907	-15.261907	-59.120772	-59.120772	-70.618288	-70.618288
0.200000	-13.714571	-18.935224	0.034991	-0.000000	-3.563458	-3.563458	-2.169677	-2.169677	-15.872442	-15.872442	-15.778473	-15.778473	-67.032621	-67.032621	-78.220220	-78.220220
0.220000	-13.680993	-19.069407	0.041764	-0.000000	-3.913542	-3.913542	-2.256210	-2.256210	-15.801916	-15.801916	-15.677669	-15.677669	-66.197061	-66.197061	-76.032290	-76.032290
0.240000	-13.272985	-18.186855	0.041591	-0.000000	-3.779291	-3.779291	-2.122429	-2.122429	-15.071844	-15.071844	-14.950925	-14.950925	-56.489820	-56.489820	-64.283638	-64.283638
0.260000	-12.486192	-16.430468	0.035245	0.000000	-3.233747	-3.233747	-1.792296	-1.792296	-13.763712	-13.763712	-13.699126	-13.699126	-40.495852	-40.495852	-46.907327	-46.907327
0.280000	-11.328425	-14.028599	0.025904	-0.000000	-2.403638	-2.403638	-1.322800	-1.322800	-12.045381	-12.045381	-12.018797	-12.018797	-23.216676	-23.216676	-27.294511	-27.294511
0.300000	-9.820894	-11.238300	0.016292	0.000000	-1.482477	-1.482477	-0.799405	-0.799405	-10.029608	-10.029608	-10.014120	-10.014120	-7.517724	-7.517724	-8.576598	-8.576598
0.320000	-7.999018	-8.298881	0.007439	0.000000	-0.628498	-0.628498	-0.311844	-0.311844	-7.807402	-7.807402	-7.802907	-7.802907	4.863912	4.863912	6.113675	6.113675
0.340000	-5.912686	-5.397787	-0.000027	-0.000000	0.048682	0.048682	0.065725	0.065725	-5.461556	-5.461556	-5.477356	-5.477356	12.901309	12.901309	15.148740	15.148740
0.360000	-3.625858	-2.651935	-0.005177	-0.000000	0.486917	0.486917	0.297310	0.297310	-3.064787	-3.064787	-3.095505	-3.095505	16.313904	16.313904	18.736838	18.736838
0.380000	-1.215412	-0.107207	-0.007465	-0.000000	0.677568	0.677568	0.388394	0.388394	-0.668605	-0.668605	-0.698319	-0.698319	15.879849	15.879849	18.236640	18.236640
0.400000	1.230830	2.245738	-0.007398	0.000000	0.666786	0.666786	0.367071	0.367071	1.697531	1.697531	1.681644	1.681644	13.402299	13.402299	15.731454	15.731454
0.420000	3.616936	4.443967	-0.006217	0.000000	0.542254	0.542254	0.285565	0.285565	4.004337	4.004337	3.995687	3.995687	10.980390	10.980390	13.061096	13.061096
0.440000	5.842523	6.526185	-0.004945	0.000000	0.424550	0.424550	0.221348	0.221348	6.183531	6.183531	6.175543	6.175543	9.609705	9.609705	11.414323	11.414323
0.460000	7.807180	8.510704	-0.004216	0.000000	0.398418	0.398418	0.221317	0.221317	8.176049	8.176049	8.174181	8.174181	10.580947	10.580947	12.827414	12.827414
0.480000	9.415514	10.373632	-0.004844	0.000000	0.516795	0.516795	0.305943	0.305943	9.920975	9.920975	9.928160	9.928160	14.968889	14.968889	18.528504	18.528504
0.500000	10.582600	12.036971	-0.007545	0.000000	0.814941	0.814941	0.494201	0.494201	11.320030	11.320030	11.323452	11.323452	22.378474	22.378474	27.430717	27.430717
0.520000	11.239566	13.374735	-0.012246	0.000000	1.275970	1.275970	0.769429	0.769429	12.265165	12.265165	12.254666	12.254666	31.588619	31.588619	38.138702	38.138702
0.540000	11.338980	14.232814	-0.018089	0.000000	1.834145	1.834145	1.093382	1.093382	12.653746	12.653746	12.628648	12.628648	40.875446	40.875446	48.909542	48.909542
0.560000	10.859643	14.454604	-0.023980	0.000000	2.394803	2.394803	1.413990	1.413990	12.406302	12.406302	12.370026	12.370026	48.410227	48.410227	57.673184	57.673184
0.580000	9.810376	13.909587	-0.028920	-0.000000	2.855182	2.855182	1.672330	1.672330	11.480552	11.480552	11.434974	11.434974	52.582616	52.582616	62.408148	62.408148
0.600000	8.232392	12.520085	-0.031999	-0.000000	3.121567	3.121567	1.813387	1.813387	9.879096	9.879096	9.826041	9.826041	52.167796	52.167796	61.616367	61.616367
0.620000	6.199859	10.280945	-0.032501	-0.000000	3.119480	3.119480	1.785917	1.785917	7.660710	7.660710	7.610459	7.610459	46.650900	46.650900	54.984583	54.984583
0.640000	3.818348	7.264218	-0.030291	-0.000000	2.790819	2.790819	1.541759	1.541759	4.957457	4.957457	4.915182	4.915182	36.847096	36.847096	43.339438	43.339438
0.660000	1.220945	3.619589	-0.025336	-0.000000	2.161967	2.161967	1.121299	1.121299	1.888224	1.888224	1.845879	1.845879	22.296760	22.296760	25.588540	25.588540
0.680000	-1.438009	-0.428139	-0.017436	-0.000000	1.259654	1.259654	0.545312	0.545312	-1.357429	-1.357429	-1.392103	-1.392103	4.073810	4.073810	3.647222	3.647222
0.700000	-3.991449	-4.592996	-0.006787	-0.000000	0.150641	0.150641	-0.131038	-0.131038	-4.563289	-4.563289	-4.578485	-4.578485	-16.304848	-16.304848	-20.475110	-20.475110
0.720000	-6.270031	-8.554276	0.005619	-0.000000	-1.065708	-1.065708	-0.844610	-0.844610	-7.493871	-7.493871	-7.483858	-7.483858	-36.783917	-36.783917	-44.496731	-44.496731
0.740000	-8.113961	-11.987194	0.018330	-0.000000	-2.268743	-2.268743	-1.528183	-1.528183	-9.920984	-9.920984	-9.888942	-9.888942	-55.225313	-55.225313	-66.150022	-66.150022
0.760000	-9.385435	-14.594841	0.029977	-0.000000	-3.336942	-3.336942	-2.115672	-2.115672	-11.647123	-11.647123	-11.599205	-11.599205	-69.751507	-69.751507	-83.261970	-83.261970
0.780000	-9.980753	-16.137722	0.039509	-0.000000	-4.164168	-4.164168	-2.547508	-2.547508	-12.523099	-12.523099	-12.463449	-12.463449	-78.920454	-78.920454	-93.998697	-93.998697
0.800000	-9.841046	-16.457972	0.046104	-0.000000	-4.668533	-4.668533	-2.778031	-2.778031	-12.460215	-12.460215	-12.391688	-12.391688	-81.772283	-81.772283	-97.138843	-97.138843
0.820000	-8.960496	-15.496252	0.049010	-0.000000	-4.796274	-4.796274	-2.788485	-2.788485	-11.438868	-11.438868	-11.360428	-11.360428	-77.846347	-77.846347	-91.981416	-91.981416
0.840000	-7.391004	-13.304701	0.047375	-0.000000	-4.550839	-4.550839	-2.611262	-2.611262	-9.484202	-9.484202	-9.404161	-9.404161	-66.281258	-66.281258	-77.792687	-77.792687
0.860000	-5.242403	-10.047315	0.041150	-0.000000	-3.927926	-3.927926	-2.228767	-2.228767	-6.764089	-6.764089	-6.707331	-6.707331	-48.808411	-48.808411	-57.359619	-57.359619
0.880000	-2.677624	-5.981199	0.031428	0.000000	-2.975819	-2.975819	-1.667976	-1.667976	-3.509073	-3.509073	-3.473340	-3.473340	-27.521957	-27.521957	-32.203123	-32.203123
0.900000	0.097399	-1.427759	0.019109	0.000000	-1.759094	-1.759094	-0.970613	-0.970613	0.008071	0.008071	0.042033	0.042033	-4.493400	-4.493400	-4.181663	-4.181663
0.920000	2.848783	3.251401	0.004686	0.000000	-0.389665	-0.389665	-0.188909	-0.188909	3.537647	3.537647	3.545864	3.545864	19.789460	19.789460	24.472629	24.472629
0.940000	5.333874	7.677724	-0.010579	0.000000	1.038480	1.038480	0.621945	0.621945	6.772827	6.772827	6.747601	6.747601	43.347820	43.347820	51.932070	51.932070
0.960000	7.323168	11.480386	-0.024797	0.000000	2.412430	2.412430	1.409593	1.409593	9.419466	9.419466	9.374664	9.374664	64.150862	64.150862	76.551543	76.551543
0.980000	8.623081	14.323554	-0.036711	0.000000	3.621346	3.621346	2.119036	2.119036	11.232144	11.232144	11.179035	11.179035	80.557580	80.557580	96.243353	96.243353
1.000000	9.097314	15.933986	-0.045793	0.000000	4.575046	4.575046	2.688556	2.688556	12.023413	12.023413	11.967337	11.967337	90.952961	90.952961	108.800018	108.800018
1.020000	8.684411	16.129955	-0.052000	0.000000	5.208680	5.208680	3.055345	3.055345	11.682921	11.682921	11.628435	11.628435	93.748762	93.748762	112.280021	112.280021
1.040000	7.409135	14.844957	-0.055016	0.000000	5.434822	5.434822	3.167057	3.167057	10.232655	10.232655	10.160362	10.160362	88.820355	88.820355	105.599568	105.599568
1.060000	5.385720	12.136511	-0.054153	0.000000	5.174008	5.174008	2.935322	2.935322	7.800988	7.800988	7.734292	7.734292	76.535517	76.535517	90.816588	90.816588
1.080000	2.811672	8.184489	-0.048777	0.000000	4.402976	4.402976	2.392680	2.392680	4.574951	4.574951	4.504227	4.504227	56.577221	56.577221	66.326013	66.326013
1.100000	-0.048248	3.294300	-0.038521	-0.000000	3.143914	3.143914	1.562631	1.562631	0.826207	0.826207	0.758563	0.758563	29.083271	29.083271	32.901627	32.901627
1.120000	-2.887101	-2.105632	-0.023256	-0.000000	1.447915	1.447915	0.495490	0.495490	-3.078289	-3.078289	-3.128532	-3.128532	-4.100594	-4.100594	-6.920404	-6.920404
1.140000	-5.387947	-7.493146	-0.003868	-0.000000	-0.564384	-0.564384	-0.723535	-0.723535	-6.728498	-6.728498	-6.748852	-6.748852	-40.092036	-40.092036	-49.689145	-49.689145
1.160000	-7.260000	-12.297265	0.017819	-0.000000	-2.708614	-2.708614	-1.979485	-1.979485	-9.712070	-9.712070	-9.698292	-9.698292	-75.096126	-75.096126	-91.088329	-91.088329
1.180000	-8.274740	-15.956868	0.039497	0.000000	-4.752865	-4.752865	-3.133623	-3.133623	-11.666344	-11.666344	-11.619121	-11.619121	-104.902802	-104.902802	-126.173306	-126.173306
1.200000	-8.297413	-17.987616	0.058725	0.000000	-6.443851	-6.443851	-4.035484	-4.035484	-12.325210	-12.325210	-12.245985	-12.245985	-125.367942	-125.367942	-149.919384	-149.919384
1.220000	-7.309405	-18.049746	0.073041	-0.000000	-7.536277	-7.536277	-4.542973	-4.542973	-11.557205	-11.557205	-11.448831	-11.448831	-132.907432	-132.907432	-158.006825	-158.006825
1.240000	-5.417578	-16.008123	0.079936	0.000000	-7.823888	-7.823888	-4.563305	-4.563305	-9.390190	-9.390190	-9.246799	-9.246799	-124.990205	-124.990205	-147.040569	-147.040569
1.260000	-2.847982	-11.986053	0.076525	0.000000	-7.235600	-7.235600	-4.130707	-4.130707	-5.949079	-5.949079	-5.786563	-5.786563	-98.407123	-98.407123	-113.841312	-113.841312
1.280000	0.076838	-6.380621	0.061111	0.000000	-5.640384	-5.640384	-3.175089	-3.175089	-1.734452	-1.734452	-1.579395	-1.579395	-58.496400	-58.496400	-65.426708	-65.426708
1.300000	2.975449	0.191072	0.036043	-0.000000	-3.192475	-3.192475	-1.679452	-1.679452	2.755205	2.755205	2.791890	2.791890	-8.999291	-8.999291	-9.527267	-9.527267
1.320000	5.456281	6.962146	0.006543	0.000000	-0.200424	-0.200424	0.103334	0.103334	6.959891	6.959891	6.952876	6.952876	44.933214	44.933214	54.536602	54.536602
