ChassisSim Rig Replay Log
R LS Bump 16K N/m/s, bypass 45mm, R LS Rebound 12K N/m/s
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.895361	-0.092352	-0.004323	0.000000	0.746740	0.746740	0.303966	0.303966	-0.819774	-0.819774	-0.525585	-0.525585	33.779730	33.779730	52.266961	52.266961
0.040000	-3.858785	-0.745290	-0.023369	0.000000	1.988182	1.988182	0.865849	0.865849	-2.355455	-2.355455	-2.206219	-2.206219	47.071143	47.071143	63.230920	63.230920
0.060000	-5.753743	-2.195855	-0.045948	0.000000	2.744997	2.744997	1.193520	1.193520	-4.058213	-4.058213	-4.497447	-4.497447	53.160289	53.160289	48.237213	48.237213
0.080000	-7.541011	-4.397964	-0.043783	-0.000000	2.769967	2.769967	1.223279	1.223279	-6.337502	-6.337502	-6.684936	-6.684936	37.927331	37.927331	32.979158	32.979158
0.100000	-9.179518	-7.148053	-0.017582	-0.000000	1.861081	1.861081	1.037142	1.037142	-8.751797	-8.751797	-8.671351	-8.671351	13.770486	13.770486	19.761950	19.761950
0.120000	-10.627406	-10.159635	0.008350	-0.000000	0.536323	0.536323	0.669325	0.669325	-10.962442	-10.962442	-10.722952	-10.722952	-10.033334	-10.033334	-3.133010	-3.133010
0.140000	-11.843309	-13.093997	0.022255	-0.000000	-0.779811	-0.779811	0.098570	0.098570	-12.795725	-12.795725	-12.727041	-12.727041	-29.321086	-29.321086	-33.107591	-33.107591
0.160000	-12.787816	-15.601437	0.031232	0.000000	-1.927326	-1.927326	-0.576072	-0.576072	-14.262135	-14.262135	-14.294432	-14.294432	-45.637310	-45.637310	-56.893512	-56.893512
0.180000	-13.425118	-17.394314	0.041440	0.000000	-2.856853	-2.856853	-1.170608	-1.170608	-15.288640	-15.288640	-15.211363	-15.211363	-57.850845	-57.850845	-67.661798	-67.661798
0.200000	-13.724765	-18.300069	0.048015	-0.000000	-3.438616	-3.438616	-1.566930	-1.566930	-15.721398	-15.721398	-15.538837	-15.538837	-62.119828	-62.119828	-68.843348	-68.843348
0.220000	-13.663502	-18.271294	0.045088	-0.000000	-3.545888	-3.545888	-1.753186	-1.753186	-15.500881	-15.500881	-15.366577	-15.366577	-57.287785	-57.287785	-64.746965	-64.746965
0.240000	-13.227093	-17.370200	0.035284	-0.000000	-3.240727	-3.240727	-1.755025	-1.755025	-14.687198	-14.687198	-14.672486	-14.672486	-45.645388	-45.645388	-55.096690	-55.096690
0.260000	-12.412046	-15.746077	0.024848	-0.000000	-2.651074	-2.651074	-1.605522	-1.605522	-13.449153	-13.449153	-13.436805	-13.436805	-32.553128	-32.553128	-39.246206	-39.246206
0.280000	-11.227137	-13.601040	0.015355	-0.000000	-1.937846	-1.937846	-1.328415	-1.328415	-11.850971	-11.850971	-11.801665	-11.801665	-19.758152	-19.758152	-22.228207	-22.228207
