ChassisSim Rig Replay Log
R LS Bump 13K N/m/s, bypass 35mm
Heave
Time (s)	heave inp (mm)	heave (mm)	pitch (deg)	roll (deg)	Damp FL (mm)	Damp FR (mm)	Damp RL (mm)	Damp RR (mm)	Hub disp FL (mm)	Hub disp FR (mm)	Hub disp RL (mm)	Hub disp RR (mm)	Delta TL FL (kg)	Delta TL FR (kg)	Delta TL RL (kg)	Delta TL RR (kg)
0.020000	-1.746383	-0.076922	-0.002895	0.000000	0.671747	0.671747	0.360974	0.360974	-0.771565	-0.771565	-0.550706	-0.550706	31.087550	31.087550	46.073125	46.073125
0.040000	-3.713430	-0.678692	-0.017354	0.000000	1.893167	1.893167	1.032600	1.032600	-2.348363	-2.348363	-2.202726	-2.202726	43.198586	43.198586	58.503080	58.503080
0.060000	-5.614855	-2.052168	-0.036303	0.000000	2.637076	2.637076	1.381862	1.381862	-4.049291	-4.049291	-4.359288	-4.359288	49.660855	49.660855	48.946100	48.946100
0.080000	-7.411607	-4.182128	-0.038097	0.000000	2.742418	2.742418	1.349240	1.349240	-6.235537	-6.235537	-6.484325	-6.484325	37.713103	37.713103	36.362179	36.362179
0.100000	-9.062720	-6.905284	-0.022757	-0.000000	2.015939	2.015939	0.981931	0.981931	-8.537216	-8.537216	-8.470701	-8.470701	17.445906	17.445906	23.674702	23.674702
0.120000	-10.526355	-9.961854	-0.007147	0.000000	0.851670	0.851670	0.407096	0.407096	-10.700718	-10.700718	-10.553124	-10.553124	-4.449909	-4.449909	0.203478	0.203478
0.140000	-11.761057	-13.023038	0.001636	0.000000	-0.418980	-0.418980	-0.383791	-0.383791	-12.577756	-12.577756	-12.547077	-12.547077	-24.587479	-24.587479	-28.739308	-28.739308
0.160000	-12.727217	-15.730788	0.009488	0.000000	-1.640775	-1.640775	-1.194866	-1.194866	-14.133057	-14.133057	-14.188849	-14.188849	-43.091168	-43.091168	-54.666836	-54.666836
0.180000	-13.388693	-17.761484	0.021768	0.000000	-2.727876	-2.727876	-1.818095	-1.818095	-15.277654	-15.277654	-15.271302	-15.271302	-58.358529	-58.358529	-71.004843	-71.004843
0.200000	-13.714571	-18.881291	0.035298	0.000000	-3.531478	-3.531478	-2.150911	-2.150911	-15.861903	-15.861903	-15.739647	-15.739647	-66.702624	-66.702624	-76.768800	-76.768800
0.220000	-13.680993	-18.980394	0.042959	0.000000	-3.880069	-3.880069	-2.207162	-2.207162	-15.781327	-15.781327	-15.617802	-15.617802	-65.567340	-65.567340	-73.768516	-73.768516
0.240000	-13.272985	-18.084730	0.041032	0.000000	-3.720622	-3.720622	-2.098135	-2.098135	-15.021016	-15.021016	-14.886884	-14.886884	-54.922260	-54.922260	-61.848542	-61.848542
0.260000	-12.486192	-16.343991	0.031813	0.000000	-3.138508	-3.138508	-1.829340	-1.829340	-13.694644	-13.694644	-13.643115	-13.643115	-38.348856	-38.348856	-44.772304	-44.772304
